,model_name,units,batch_size,dense_units,dropout_rate,best_val_loss,epochs
122,baseline_lstm,128,4,32,0.1,0.042355965822935104,55
158,baseline_lstm,128,4,32,0.2,0.042355965822935104,55
230,baseline_lstm,128,4,64,0.1,0.042355965822935104,55
410,baseline_lstm,128,4,128,0.3,0.042355965822935104,55
194,baseline_lstm,128,4,32,0.3,0.042355965822935104,55
302,baseline_lstm,128,4,64,0.3,0.042355965822935104,55
266,baseline_lstm,128,4,64,0.2,0.042355965822935104,55
374,baseline_lstm,128,4,128,0.2,0.042355965822935104,55
338,baseline_lstm,128,4,128,0.1,0.042355965822935104,55
86,baseline_lstm,128,4,16,0.3,0.042355965822935104,55
14,baseline_lstm,128,4,16,0.1,0.042355965822935104,55
50,baseline_lstm,128,4,16,0.2,0.042355965822935104,55
173,stacked_lstm,128,4,32,0.2,0.04584848880767822,11
137,stacked_lstm,128,4,32,0.1,0.04584848880767822,11
101,stacked_lstm,128,4,16,0.3,0.04584848880767822,11
29,stacked_lstm,128,4,16,0.1,0.04584848880767822,11
317,stacked_lstm,128,4,64,0.3,0.04584848880767822,11
425,stacked_lstm,128,4,128,0.3,0.04584848880767822,11
209,stacked_lstm,128,4,32,0.3,0.04584848880767822,11
245,stacked_lstm,128,4,64,0.1,0.04584848880767822,11
65,stacked_lstm,128,4,16,0.2,0.04584848880767822,11
389,stacked_lstm,128,4,128,0.2,0.04584848880767822,11
353,stacked_lstm,128,4,128,0.1,0.04584848880767822,11
281,stacked_lstm,128,4,64,0.2,0.04584848880767822,11
319,lstm_dense,64,4,64,0.3,0.04720108583569527,18
283,lstm_dense,64,4,64,0.2,0.04720108583569527,18
247,lstm_dense,64,4,64,0.1,0.04720108583569527,18
131,lstm_dropout,128,4,32,0.1,0.048639070242643356,50
23,lstm_dropout,128,4,16,0.1,0.048639070242643356,50
239,lstm_dropout,128,4,64,0.1,0.048639070242643356,50
347,lstm_dropout,128,4,128,0.1,0.048639070242643356,50
427,lstm_dense,64,4,128,0.3,0.048812251538038254,19
355,lstm_dense,64,4,128,0.1,0.048812251538038254,19
391,lstm_dense,64,4,128,0.2,0.048812251538038254,19
857,stacked_lstm,128,8,128,0.3,0.048823799937963486,16
641,stacked_lstm,128,8,32,0.3,0.048823799937963486,16
533,stacked_lstm,128,8,16,0.3,0.048823799937963486,16
605,stacked_lstm,128,8,32,0.2,0.048823799937963486,16
821,stacked_lstm,128,8,128,0.2,0.048823799937963486,16
749,stacked_lstm,128,8,64,0.3,0.048823799937963486,16
461,stacked_lstm,128,8,16,0.1,0.048823799937963486,16
713,stacked_lstm,128,8,64,0.2,0.048823799937963486,16
677,stacked_lstm,128,8,64,0.1,0.048823799937963486,16
785,stacked_lstm,128,8,128,0.1,0.048823799937963486,16
497,stacked_lstm,128,8,16,0.2,0.048823799937963486,16
569,stacked_lstm,128,8,32,0.1,0.048823799937963486,16
67,lstm_dense,64,4,16,0.2,0.04906731843948364,15
103,lstm_dense,64,4,16,0.3,0.04906731843948364,15
31,lstm_dense,64,4,16,0.1,0.04906731843948364,15
