,model_name,window_size,units,batch_size,learning_rate,dense_units,dropout_rate,best_val_loss,best_epoch,final_train_loss,epochs,time
0,baseline_lstm,6,32,4,0.005,,,0.1049620732665062,13,0.03569963946938515,23,4.425117492675781
1,baseline_lstm,6,64,4,0.005,,,0.1058439090847969,11,0.035448137670755386,21,3.7353572845458984
2,baseline_lstm,6,128,4,0.005,,,0.10928365588188171,9,0.036376915872097015,19,3.9776995182037354
3,baseline_lstm,6,32,4,0.01,,,0.08793838322162628,20,0.028371820226311684,30,5.35973858833313
4,baseline_lstm,6,64,4,0.01,,,0.10406504571437836,7,0.03551916778087616,17,3.498298168182373
5,baseline_lstm,6,128,4,0.01,,,0.07608295232057571,24,0.02251354604959488,34,5.89252233505249
6,baseline_lstm,6,32,8,0.005,,,0.11187003552913666,21,0.03507740795612335,31,4.093293190002441
7,baseline_lstm,6,64,8,0.005,,,0.09499948471784592,28,0.029508017003536224,38,4.941700458526611
8,baseline_lstm,6,128,8,0.005,,,0.07357825338840485,38,0.019858187064528465,48,6.312217950820923
9,baseline_lstm,6,32,8,0.01,,,0.09322987496852875,23,0.026285037398338318,33,4.2714738845825195
10,baseline_lstm,6,64,8,0.01,,,0.08921818435192108,21,0.02322951704263687,31,4.133424282073975
11,baseline_lstm,6,128,8,0.01,,,0.10476987808942795,11,0.03227420151233673,21,3.268441677093506
12,baseline_lstm,6,32,16,0.005,,,0.11416174471378326,48,0.03268340602517128,58,6.15487813949585
13,baseline_lstm,6,64,16,0.005,,,0.08837366849184036,57,0.02406211942434311,67,7.082674741744995
14,baseline_lstm,6,128,16,0.005,,,0.08112991601228714,49,0.022979743778705597,59,6.576427698135376
15,baseline_lstm,6,32,16,0.01,,,0.07746148854494095,52,0.020977070555090904,62,6.457294464111328
16,baseline_lstm,6,64,16,0.01,,,0.06997212767601013,36,0.02654877118766308,46,5.040652513504028
17,baseline_lstm,6,128,16,0.01,,,0.08516238629817963,27,0.02576128952205181,37,4.358612537384033
18,baseline_lstm,6,32,32,0.005,,,0.11757484078407288,103,0.034592077136039734,113,10.462142944335938
19,baseline_lstm,6,64,32,0.005,,,0.10614114254713058,85,0.03131693974137306,95,8.837818384170532
20,baseline_lstm,6,128,32,0.005,,,0.10585753619670868,47,0.031663183122873306,57,5.937187433242798
21,baseline_lstm,6,32,32,0.01,,,0.1103287786245346,77,0.03217901289463043,87,8.06897521018982
22,baseline_lstm,6,64,32,0.01,,,0.08175266534090042,53,0.030454518273472786,63,5.945217609405518
23,baseline_lstm,6,128,32,0.01,,,0.09084781259298325,43,0.02838604897260666,53,5.420459508895874
24,stacked_lstm,6,32,4,0.005,,,0.09179884940385818,12,0.036610834300518036,22,4.323968172073364
